nosaukums,cena
"Apple AirPods Pro, 2nd gen, USB-C - Bezvadu austiņas",Cena:299.99 €
"Sony WH-1000XM4, melna - Bezvadu austiņas","Drauga cena:229.99 €Parastā cena: 
                                299.99 €"
"Apple Airpods 4 ANC, balta - Bezvadu austiņas",Cena:199.99 €
"Apple Airpods 4, balta - Bezvadu austiņas",Cena:149.99 €
"Sony WF-1000XM5, melna - Bezvadu austiņas","Drauga cena:299.99 €Parastā cena: 
                                319.99 €"
"Marshall Major IV, melna - Bezvadu austiņas",Cena:129.99 €
"Bezvadu austiņas Minor III, Marshall",Cena:129.99 €
"Sony WH-1000XM5, melna - Bezvadu austiņas",Cena:419.99 €
"Sony WH-1000XM4, bēša - Bezvadu austiņas","Drauga cena:229.99 €Parastā cena: 
                                299.99 €"
"Sony PULSE 3D PS5, melna/balta - Bezvadu austiņas ar mikrofonu",Cena:99.99 €
"JBL Tune 520BT, melna - Bezvadu austiņas","Drauga cena:39.99 €Parastā cena: 
                                49.99 €"
"Logitech G435 Lightspeed, melna - Bezvadu austiņas ar mikrofonu",Cena:79.99 €
"Sony Playstation Pulse Elite Wireless, balta - Bezvadu austiņas",Cena:159.99 €
"Sony WH-CH720N, aktīvā trokšņu slāpēšana, melna - Bezvadu austiņas",Cena:119.99 €
"JBL Wave Flex, gaiši zila - Bezvadu austiņas","Drauga cena:39.99 €Parastā cena: 
                                79.99 €"
"JBL Tune 720BT, melna - Bezvadu austiņas","Drauga cena:49.99 €Parastā cena: 
                                79.99 €"
"JBL Tune 720BT, zila - Bezvadu austiņas","Drauga cena:49.99 €Parastā cena: 
                                79.99 €"
"Philips TAT1209, melna - Bezvadu austiņas",Cena:29.99 €
"JBL Endurance Peak 3, balta - Bezvadu sporta austiņas",Cena:109.99 €
"Sennheiser MOMENTUM 4, melna - Bezvadu austiņas",Cena:349.99 €
"JLAB Go Air Sport, melna - Bezvadu sporta austiņas","Drauga cena:35.99 €Parastā cena: 
                                49.99 €"
"Sony WH-CH720N, aktīvā trokšņu slāpēšana, zila - Bezvadu austiņas",Cena:119.99 €
